ts,strategy_id,profile_id,mode,action,ticker,direction,qty,price,usd,order_id,status,reason,signal_ready_time,shadow_exit_time,sim_mode
2026-05-15T10:25:05-04:00,,,LIVE,BUY,MU,LONG,6,744.5200,4467.12,952084575,success,entry,2026-05-15T10:20:00-04:00,2026-05-15T10:30:00-04:00,True
2026-05-15T10:34:42-04:00,,,LIVE,SELL,MU,LONG,6,737.2300,4423.38,952091014,success,shadow_exit,2026-05-15T10:20:00-04:00,2026-05-15T10:30:00-04:00,True
2026-05-15T10:34:42-04:00,,,LIVE,BUY,LRCX,LONG,17,284.5300,4837.01,952091016,success,entry,2026-05-15T10:30:00-04:00,2026-05-15T10:40:00-04:00,True
2026-05-15T10:48:23-04:00,,,LIVE,SELL,LRCX,LONG,17,284.6500,4839.05,952098208,success,shadow_exit,2026-05-15T10:30:00-04:00,2026-05-15T10:40:00-04:00,True
2026-05-15T10:58:12-04:00,,,LIVE,SELLSHORT,TWLO,SHORT,25,197.2950,4932.38,952103488,success,entry,2026-05-15T10:50:00-04:00,2026-05-15T11:00:00-04:00,True
2026-05-15T11:08:35-04:00,,,LIVE,BUYTOCOVER,TWLO,SHORT,25,197.8800,4947.00,952107762,success,shadow_exit,2026-05-15T10:50:00-04:00,2026-05-15T11:00:00-04:00,True
2026-05-15T11:08:35-04:00,,,LIVE,SELLSHORT,HUM,SHORT,16,299.2000,4787.20,952107768,success,entry,2026-05-15T11:00:00-04:00,2026-05-15T11:10:00-04:00,True
2026-05-15T11:15:18-04:00,,,LIVE,BUYTOCOVER,HUM,SHORT,16,301.3500,4821.60,952111703,success,shadow_exit,2026-05-15T11:00:00-04:00,2026-05-15T11:10:00-04:00,True
2026-05-22T10:35:26-04:00,,,LIVE,SELLSHORT,HPE,SHORT,136,36.6450,4983.72,953341151,success,entry,2026-05-22T10:30:00-04:00,2026-05-22T10:40:00-04:00,True
2026-05-22T10:56:06-04:00,,,LIVE,BUYTOCOVER,HPE,SHORT,136,37.0250,5035.40,953350255,success,shadow_exit,2026-05-22T10:30:00-04:00,2026-05-22T10:40:00-04:00,True
2026-05-22T11:06:43-04:00,,,LIVE,SELLSHORT,RKLB,SHORT,36,136.1950,4903.02,953354437,success,entry,2026-05-22T11:00:00-04:00,2026-05-22T11:10:00-04:00,True
2026-05-22T11:26:50-04:00,,,LIVE,BUYTOCOVER,RKLB,SHORT,36,137.3101,4943.16,953362226,success,shadow_exit,2026-05-22T11:00:00-04:00,2026-05-22T11:10:00-04:00,True
